bikes_available,docks_available,is_renting,is_returning,last_updated,station_id,name,latitude,longitude
14,0,true,true,1594115085,3280,Astor Place,40.719282200707,-74.071261882782
18,0,true,true,1594115085,3661,Montgomery St & Franklin Ave,40.6664393068708,-73.9605563879013
7,20,true,true,1594115085,448,W 37 St & 10 Ave,40.75660359,-73.9979009
3,21,true,true,1594115085,3996,Lexington Ave & E 128 St,40.806414,-73.936085
4,14,true,true,1594115085,3863,Central Ave & Woodbine St,40.69296,-73.91605
7,8,true,true,1594114955,b91103a4e638130a1de6c5eea75a0854,Adeline St at 40th St,37.8312769,-122.2782669
4,15,true,true,1594114954,df3286fb70521afe8b7c68681e57f777,Stanyan St at Geary Blvd,37.780949,-122.456303
12,15,true,true,1594114953,b4b0088fb4fbb4587cad9d89ddc092cd,Pierce Ave at Market St,37.327581,-121.884559
27,18,true,true,1594115085,3145,E 84 St & Park Ave,40.77862688,-73.95772073
31,3,true,true,1594115085,483,E 12 St & 3 Ave,40.73223272,-73.98889957
0,29,true,true,1594115085,3570,35 Ave & 37 St,40.7557327,-73.9236611
17,8,true,true,1594114954,bafbf8c2ef10271c489e9ab99dc9bd21,Mission Bay Kids Park,37.7723006317476,-122.393027544022
2,28,true,true,1594115085,3490,E 116 St & 2 Ave,40.796879,-73.937261
32,22,true,true,1594115085,3140,1 Ave & E 78 St,40.77140426,-73.9535166
11,1,true,true,1594114954,731650e7cbef710c994091a832b44079,Evans Ave at Mendell St,37.7401775433514,-122.383736371994
29,1,true,true,1594115085,3781,Greene Av & Myrtle Av,40.698568,-73.918877
0,30,true,true,1594115085,3967,W 146 St & Broadway,40.826969,-73.949738
47,0,true,true,1594115085,3711,E 13 St & Avenue A,40.7296672939298,-73.9806796610355
9,23,true,true,1594115085,3740,W Broadway & W Houston St,40.726378,-74.000472
37,16,true,true,1594115085,317,E 6 St & Avenue B,40.72453734,-73.98185424
4,23,true,true,1594115085,3581,Underhill Ave & Lincoln Pl,40.6740123,-73.9671457
0,19,true,true,1594115085,3808,24 St & 41 Ave,40.752474,-73.939991
6,9,true,true,1594114954,55f0ed0965a5a80f451700832338cd49,Fruitvale BART Station,37.7752321,-122.2244982
1,22,true,true,1594115085,3884,Centre St & Seneca Ave,40.69969,-73.9022
5,22,true,true,1594114955,794cb9426661fc4ba684c6a147f4ea92,Post St at Baker St,37.783973,-122.442878
18,16,true,true,1594115085,2012,E 27 St & 1 Ave,40.739445,-73.976806
36,3,true,true,1594115085,495,W 47 St & 10 Ave,40.76269882,-73.99301222
29,5,true,true,1594115085,388,W 26 St & 10 Ave,40.749717753,-74.002950346
28,7,true,true,1594115085,3521,Lenox Ave & W 111 St,40.7987859,-73.9523
11,10,true,true,1594115085,3578,Park Pl & Franklin Ave,40.6741806,-73.9564947
13,14,true,true,1594114954,d057730bd39a7e2c920ff32d19393eb6,Townsend St at 7th St,37.771058,-122.402717
7,35,true,true,1594115085,3584,Eastern Pkwy & Franklin Ave,40.6707767,-73.9576801
9,6,true,true,1594114954,155125eff6270d14ae62b26c85f15ce3,Julian St at 6th St,37.3429973,-121.8888891
17,33,true,true,1594115085,3709,W 15 St & 6 Ave,40.7380461424828,-73.996429592371
21,0,true,true,1594115085,3764,Bushwick Ave & McKibbin St,40.705517,-73.93936
13,9,true,true,1594115085,3187,Warren St,40.7211236,-74.03805095
18,60,true,true,1594115085,422,W 59 St & 10 Ave,40.770513,-73.988038
36,8,true,true,1594115085,415,Pearl St & Hanover Square,40.7047177,-74.00926027
10,12,true,true,1594114954,d030365db7e396de64147261e783a062,Bay Pl at Vernon St,37.8123140913515,-122.260778546333
1,23,true,true,1594115085,3728,Pierrepont St & Monroe Pl,40.6953569332022,-73.9934402704239
35,4,true,true,1594115085,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324
2,26,true,true,1594115085,3378,E 76 St & Park Ave,40.773763,-73.96222088
22,21,true,true,1594115085,361,Allen St & Hester St,40.71605866,-73.99190759
7,32,true,true,1594115085,323,Lawrence St & Willoughby St,40.69236178,-73.98631746
21,18,true,true,1594115085,351,Front St & Maiden Ln,40.70530954,-74.00612572
32,7,true,true,1594115085,387,Centre St & Chambers St,40.71273266,-74.0046073
17,7,true,true,1594115085,3399,7 St & 3 Ave,40.6726029815013,-73.9898300170898
19,4,true,true,1594115085,419,Carlton Ave & Park Ave,40.69580705,-73.97355569
8,10,true,true,1594114955,fcbb52bd7f4fcf0f57a7cc47078c7ff4,Yerba Buena Center for the Arts (Howard St at 3rd St),37.7848720843606,-122.400875687599
10,4,true,true,1594115085,3268,Lafayette Park,40.713463826692,-74.0628585219383
6,15,true,true,1594115085,3546,Pacific St & Classon Ave,40.6791944,-73.9587903
6,13,true,true,1594114955,0ceed296dc7ef21bc6dc3999e23db576,San Carlos St at 11th St,37.3364659,-121.8766132
37,4,true,true,1594115085,309,Murray St & West St,40.7149787,-74.013012
19,11,true,true,1594115085,534,Water - Whitehall Plaza,40.70255065,-74.0127234
3,21,true,true,1594115085,3494,E 115 St & Lexington Ave,40.797911,-73.9423
7,15,true,true,1594114954,a2b35c2295034dbcd762ffeb728c9163,El Embarcadero at Grand Ave,37.8088479,-122.2496799
24,17,true,true,1594115085,3074,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171
40,19,true,true,1594115085,434,9 Ave & W 18 St,40.74317449,-74.00366443
5,26,true,true,1594115085,3583,Eastern Pkwy & Washington Ave,40.6716493,-73.9631145
12,9,true,true,1594114955,251e5569c29684642d8e0c8462446b87,5th Ave at Anza St,37.7794876092433,-122.463141828775
0,26,true,true,1594115085,3207,Oakland Ave,40.7376037,-74.0524783
23,4,true,true,1594115085,3078,Broadway & Roebling St,40.7092482627616,-73.9606314897537
1,22,true,true,1594114955,3f7bcb194b23b7ec05700eaaae5e2f6b,West Oakland BART Station,37.8053183,-122.2948365
11,52,true,true,1594115085,468,Broadway & W 56 St,40.7652654,-73.98192338
0,23,true,true,1594115085,3716,40 Ave & Crescent St,40.7535992020056,-73.9379560947418
10,13,true,true,1594115085,3777,Stockholm St & Wilson Ave,40.699304,-73.923044
0,28,true,true,1594115085,3582,Lincoln Pl & Classon Ave,40.6721683,-73.9609
9,14,true,true,1594114954,dbd21ac9ae9f5cd34c4980b4f103b550,10th St at Fallon St,37.7976728,-122.2629973
8,19,true,true,1594115085,3745,36 Ave & 31 St,40.7565127298495,-73.9295748621225
7,18,true,true,1594115085,3496,1 Ave & E 110 St,40.7923272,-73.9383
